企業名,本社位置,資本金,設立年,従業員数
（株）アイ・エム・ジェイ  ,東京都港区三田1丁目4番1号,4310000000,1996,614
アカマイ・テクノロジーズ合同会社,東京都中央区京橋２－１－３　京橋トラストタワー,21900000000,2003,220
（株）アクリスジャパン,東京都中央区銀座４－５－１６　銀座４丁目ビル８階,900000000,2002,130
アドビシステムズ（株）,東京都品川区大崎１－１１－２　ゲートシティ大崎イーストタワー,1800000000,1992,600
アバナード（株）  ,東京都港区六本木1丁目6番1号泉ガーデンタワー9階,85000000,2005,400
（株）インフィニトラベルインフォメーション  ,東京都港区赤坂4丁目2番6号,4000000000,1990,153
（株）ウィクレソフト・ジャパン  ,東京都新宿区西新宿2丁目1番1号新宿三井ビルディング45階,60000000,2006,126
ウイングアーク１ｓｔ（株）,東京都港区六本木３－２－１　六本木グランドタワー,2000000000,2016,522
エクイニクス・ジャパン（株）  ,東京都中央区日本橋2丁目7番1号,6600000000,2000,670
ＳＡＰジャパン（株）  ,東京都千代田区麹町1丁目6番4号,3600000000,1992,1100
ＮＨＮ　テコラス（株）  ,東京都港区虎ノ門1丁目23番1号,3100000000,2013,255
ＮＨＮ　ＰｌａｙＡｒｔ（株）  ,東京都港区虎ノ門1丁目23番1号,3100000000,2013,255
オートデスク（株）  ,東京都中央区晴海1丁目8番10号,100000000,1985,250
ガートナージャパン（株）,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー５階,200000000,1995,278
（株）ゲームオン  ,東京都渋谷区恵比寿1丁目19番19号,100000000,2001,201
Ｃｏｌｔテクノロジーサービス（株）,東京都港区六本木1丁目6番1号泉ガーデンタワー27階,3454000000,1999,500
（株）コンカー,東京都中央区銀座6丁目10番1号GINZASIX,450000000,2010,118
合同会社コンデナスト・ジャパン,東京都渋谷区渋谷２－１１－８　大菅ビルディング,1000000000,1997,151
ＳＡＳ　Ｉｎｓｔｉｔｕｔｅ　Ｊａｐａｎ（株）,東京都千代田区大手町2丁目3番1号,3500000000000,2006,250255
ジャパンシステム（株）,東京都渋谷区代々木1丁目22番1号,1387000000,1969,577
ジーエフケーマーケティングサービスジャパン（株）,東京都中野区本町2丁目46番1号,80000000,1979,100
ダッソー・システムズ（株）,東京都品川区大崎2丁目1番1号,100000000,1994,600
トリンプ・インターナショナル・ジャパン（株）,東京都中央区築地5丁目6番4号,100000000,1964,1423
日本ＮＣＲビジネスソリューション（株）,東京都品川区大崎5丁目1番11号,260000000,1989,100
日本オラクル（株）,東京都港区北青山2丁目5番8号,24480000000,1985,2504
日本ストラタステクノロジー（株）,東京都千代田区六番町6番地,400000000,1986,160
日本バイリーン（株）,東京都中央区築地5丁目6番4号,6000000000,1960,2071
日本マイクロソフト（株）,東京都港区港南2丁目16番3号品川グランドセントラルタワー,500000000,1986,2076
ニューコン（株）,東京都荒川区東日暮里5丁目41番12号,300000000,1991,160
ＮＥＵＳＯＦＴ　Ｊａｐａｎ（株）,東京都千代田区大手町2丁目3番1号,3500000000000,2006,250255
（株）ニューバランスジャパン,東京都千代田区神田神保町1丁目105番地,178000000,1988,275
（株）ネクソン,東京都港区六本木1丁目4番5号,14402000000,2002,6428
（株）ハイシンクジャパン,東京都港区芝浦3丁目2番16号,180000000,1999,240
パクテラ・テクノロジー・ジャパン（株）,東京都江東区富岡2丁目11番6号6階,400000000,2002,380
ヒューゴ・ボス（株）,東京都港区南青山５－２－１,2500000000,1992,170
ＰＨＣメディコムネットワークス（株）,東京都台東区上野1丁目4番8号,30000000,1994,690
ＰＴＣジャパン（株）,東京都新宿区西新宿6丁目8番1号,50000000,1992,300
ファーウェイ・ジャパン（登記社名　華為技術日本（株））,東京都千代田区大手町1丁目5番1号,4564000000,2005,901
プチバトージャパン,東京都港区北青山３－６－１６　表参道サンケイビル５階,100000000,1997,100
ボードライダーズジャパン（株）,東京都渋谷区神宮前6丁目27番8号京セラ原宿ビル,30000000,1984,250
方正（株）,東京都文京区後楽２－３－１９　住友不動産飯田橋ビル４号館,4250000000,1996,115
（株）マックスアンドコージャパン,東京都港区南青山6丁目12番1号TTS南青山ビル4階,90000000,2000,150
メンター・グラフィックス・ジャパン（株）,東京都品川区北品川4丁目7番35号,480000000,1983,207
（株）モンクレールジャパン,東京都港区北青山3丁目6番7号,195000000,2009,280
（株）ラコステジャパン,東京都品川区上大崎3丁目1番1号,480000000,1987,879
リフィニティブ・ジャパン（株）,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー３０階,1000000000,1985,268
（株）菱友システムビジネス,東京都港区芝浦1丁目2番3号,150000000,1990,200
（株）レナウン,東京都江東区有明3丁目6番11号TFTビル東館6階,18471000000,2004,905
ロロ・ピアーナ　ジャパン（株）,東京都港区西新橋3丁目7番1号,114400000000,2002,8622
